[*] Performing Reverse Lookup from 167.114.21.0 to 167.114.21.255
[+] 	 PTR ip126.ip-167-114-21.net 167.114.21.126
[+] 	 PTR rhubarb.noproblemnetworks.com 167.114.21.116
[+] 	 PTR ip122.ip-167-114-21.net 167.114.21.122
[+] 	 PTR appliance.gotelsolutions.com 167.114.21.254
[+] 	 PTR ip248.ip-167-114-21.net 167.114.21.248
[+] 	 PTR ip249.ip-167-114-21.net 167.114.21.249
[+] 	 PTR faith.gotelsolutions.com 167.114.21.252
[+] 	 PTR ip251.ip-167-114-21.net 167.114.21.251
[+] 	 PTR samint.gotelsolutions.com 167.114.21.253
[+] 	 PTR ip250.ip-167-114-21.net 167.114.21.250
[+] 	 PTR ip129.ip-167-114-21.net 167.114.21.129
[+] 	 PTR ip143.ip-167-114-21.net 167.114.21.143
[+] 	 PTR ip141.ip-167-114-21.net 167.114.21.141
[+] 	 PTR ip171.ip-167-114-21.net 167.114.21.171
[+] 	 PTR ip197.ip-167-114-21.net 167.114.21.197
[+] 	 PTR ip195.ip-167-114-21.net 167.114.21.195
[+] 	 PTR ip199.ip-167-114-21.net 167.114.21.199
[+] 	 PTR lsh.converja.cloud 167.114.21.205
[+] 	 PTR miramarvps2.com 167.114.21.224
[+] 121 Records Found
